author,date,description,tags,title
Tobie Langel,July 2021,"A few years ago, Heartbleed epitomized a massive open source sustainability problem for critical parts of the internet infrastructure. The bug, which affected the popular OpenSSL cryptographic software library, notably compromised the confidentiality of 4.5 million US patient records and cost the industry an estimated $500M.","Beginners,Business,Open-Source,Programming",Towards a sustainable solution to open source sustainability
Andy Fundinger,July 2021,"Many of the systems we build fail to account for performance, error rates, data correctness, or other customer reliability needs. This talk discusses the basics of service level objectives by comparing them to ordinary functional specifications. It also serves as an introduction to System Reliability Engineering (SRE).","Best Practice,Engineering",The spec you never knew you needed
Marc-Andre Lemburg,July 2021,"Python has come a long way since it was created in 1989. The talk will look into the current state, upcoming changes and explore possibilities for its future development, both at a language and application level.","Business,Development,Engineering,New Features,Python general",Thoughts on the Future of Python
Tarik Berrada,July 2021,"Your parents haven’t talked to each other for years. Your uncle Sam went to the same university as Mr. Finkelstein, while the Trautsohns share a common interest for photography with the Krazinskis. The N’Guyens had Covid, while the Lefebvres aren’t even vaccinated. You would like to achieve a reasonable mix of people knowing each other and of new acquaintances. How are you supposed to arrange the seating of the guests?","Science,python",The Optimal Wedding (With Pyomo)
Luke Leighton,July 2021,"The Libre-SOC Project aims to bring to market a mass-volume System-on-a-Chip suitable for use in smartphones netbooks tablets and chromebooks, which is end-user programmable right to the bedrock. No spying backdoors, no treacherous DRM.","3D,Compiler and Interpreters,Mind Bending,Other Hardware,The Answer to Life the Universe and Everything Else",The Libre-SOC Project
Stefanie Stoppel,July 2021,"Imagine you're a Black woman having your face not recognized by a government photo booth, no matter how you position yourself in front of the camera.,Imagine you're a woman getting your loan request rejected, while your partner - who has a similar income and credit history - gets his approved.,Imagine you're an African American man arrested by the police because your face was mistakenly matched to a guy involved in an armed robbery.","Data,Data Science,Deep Learning,Ethics,Machine-Learning",The Myth of Neutrality: How AI is widening social divides
"Alexys Jacob,Sébastien Crocquevieille,Romain Meson,Margaux Levisalles,Brieuc Le Bars",July 2021,"Through its 1000mercis Impacts initiative, Numberly has been actively working with tech and non tech associations over the years for social, environmental and educational causes. ",Community,Tech for Good: Build the world you want to live in
Haki Benita,July 2021,"There are many sources of nondeterminism in code such as randomness, IO, environment variables, databases and many more. Nondeterminism is a source of confusion, and it makes testing difficult. One way to control nondeterminism is using the dependency injection pattern.","Development,Programming,Software Design,Testing",Taming Nondeterminism with Dependency Injection
Ruud van der Ham,July 2021,"Even if you use a debugger, it is often required to print some variables or expressions, preferably with their name and sometimes even the location. ,The normal way to do that is with a print statement, like,|    print(""hello= "", hello),or with Python >= 3.8:,|    print(f""hello=""),Ycecream makes this easier with a simple call to y:,|   y(hello),and then you will get,|   y| hello: ""world"",But you can also add the location in the program where this debug call is coming and get something like,|    y| #6 in testproc() hello: ""world""","Debugging,General,Performance,Python general,Tooling",Sweeter debugging and benchmarking with ycecream
Steven Kolawole,July 2021,"When we think about building Python-based data science apps, we think of Flask. But there is a better option now. Streamlit.","Data Science,Machine-Learning,Natural Language Processing,Python 3,Visualization",Streamlit: The Fastest Way to build Data Apps
